OGIds	Mz,Pn,Ab,Nb,On,Ga
OG68_1	mz.gene.s72.107,pn.gene.s68.3,ab.gene.s30.100,nb.gene.s19.167,on.gene.LG8-24.489,ENSGACG00000006049
OG69_1	mz.gene.s147.19,pn.gene.s129.27,ab.gene.s348.14,NULL,on.gene.LG17.82,ENSGACG00000019186
OG70_1	mz.gene.s28.98,pn.gene.s17.63,ab.gene.s35.61,nb.gene.s55.91,on.gene.LG4.647,ENSGACG00000008544
OG71_1	mz.gene.s127.24,pn.gene.s114.28,ab.gene.s189.24,nb.gene.s10.356,on.gene.UNK14.32,ENSGACG00000016228
OG72_1	mz.gene.s29.51,pn.gene.s107.15,NULL,nb.gene.s51.40,on.gene.LG2.12,ENSGACG00000016829
OG73_1	mz.gene.s150.10,pn.gene.s144.18,ab.gene.s481.13,nb.gene.s120.9,on.gene.UNK75.14,ENSGACG00000016520
OG74_1	NULL,NULL,ab.gene.s91.41,nb.gene.s36.70,NULL,ENSGACG00000007715
OG75_1	NULL,NULL,NULL,nb.gene.s0.108,on.gene.LG1.556,NULL
OG76_1	NULL,NULL,NULL,nb.gene.s148.11,on.gene.LG12.240,NULL
OG77_1	NULL,pn.gene.s349.24,ab.gene.s922.6,nb.gene.s42.99,NULL,ENSGACG00000014295
OG78_1	mz.gene.s62.26,pn.gene.s61.1,ab.gene.s83.41,nb.gene.s59.32,on.gene.LG13.268,ENSGACG00000003415
OG79_1	mz.gene.s108.10,pn.gene.s115.20,ab.gene.s428.5,nb.gene.s8.5,NULL,NULL
OG80_1	mz.gene.s17.118,pn.gene.s103.18,ab.gene.s56.43,nb.gene.s1.198,on.gene.LG17.484,ENSGACG00000019912
OG81_1	mz.gene.s59.77,NULL,ab.gene.s143.7,NULL,NULL,NULL
OG82_1	mz.gene.s234.8,NULL,ab.gene.s1435.2,NULL,NULL,NULL
OG83_1	mz.gene.s25.40,NULL,ab.gene.s12.38,NULL,NULL,NULL
OG84_1	mz.gene.s94.62,pn.gene.s63.55,ab.gene.s46.93,nb.gene.s88.89,on.gene.LG10.275,ENSGACG00000020704
OG85_1	mz.gene.s107.2,NULL,ab.gene.s1412.1,NULL,on.gene.LG5.15,NULL
OG86_1	mz.gene.s71.53,NULL,ab.gene.s1425.3,NULL,NULL,NULL
OG87_1	mz.gene.s57.68,pn.gene.s46.81,ab.gene.s7.73,nb.gene.s8.320,on.gene.LG20.716,ENSGACG00000009119
OG88_1	NULL,pn.gene.s49.13,NULL,NULL,NULL,ENSGACG00000019123
OG89_1	mz.gene.s14.162,pn.gene.s5.10,ab.gene.s26.5,nb.gene.s16.90,on.gene.LG12.586,ENSGACG00000007167
OG90_1	mz.gene.s135.43,pn.gene.s348.4,ab.gene.s464.17,nb.gene.s11.196,on.gene.LG6.531,ENSGACG00000015999
OG91_1	mz.gene.s6.122,pn.gene.s3.140,ab.gene.s36.19,nb.gene.s10.160,on.gene.LG18.322,ENSGACG00000015136
OG92_1	NULL,NULL,NULL,NULL,NULL,ENSGACG00000015667
OG93_1	mz.gene.s44.14,pn.gene.s135.33,ab.gene.s5.8,nb.gene.s5.327,on.gene.LG13.485,ENSGACG00000007506
OG94_1	mz.gene.s10.220,pn.gene.s41.91,ab.gene.s24.24,nb.gene.s6.283,on.gene.LG5.345,ENSGACG00000007904
OG95_1	mz.gene.s82.30,pn.gene.s117.25,ab.gene.s34.55,nb.gene.s70.2,NULL,ENSGACG00000014727
OG96_1	mz.gene.s24.189,pn.gene.s66.3,ab.gene.s70.2,NULL,on.gene.LG11.717,NULL
OG97_1	mz.gene.s101.17,NULL,ab.gene.s329.6,NULL,on.gene.LG15.268,NULL
OG98_1	mz.gene.s363.7,NULL,ab.gene.s33.3,NULL,NULL,NULL
OG99_1	NULL,pn.gene.s85.8,NULL,nb.gene.s63.18,on.gene.LG19.484,NULL
OG100_1	mz.gene.s2.49,pn.gene.s50.10,ab.gene.s8.56,nb.gene.s0.244,on.gene.LG1.414,ENSGACG00000016103
OG101_1	NULL,NULL,ab.gene.s527.8,NULL,on.gene.LG12.406,ENSGACG00000009878
OG102_1	NULL,NULL,NULL,NULL,NULL,ENSGACG00000013050
OG103_1	mz.gene.s178.34,NULL,NULL,nb.gene.s15.277,NULL,ENSGACG00000011053
OG104_1	NULL,pn.gene.s20.11,NULL,nb.gene.s6.448,NULL,NULL
OG105_1	mz.gene.s107.4,pn.gene.s97.74,ab.gene.s389.14,nb.gene.s95.67,on.gene.LG18.67,ENSGACG00000014519
OG106_1	mz.gene.s97.7,pn.gene.s186.11,ab.gene.s323.12,nb.gene.s11.168,on.gene.LG6.441,ENSGACG00000015925
OG107_1	mz.gene.s215.31,pn.gene.s1841.2,ab.gene.s492.36,nb.gene.s176.21,on.gene.LG18.808,ENSGACG00000002454
OG108_1	mz.gene.s23.108,pn.gene.s73.16,ab.gene.s118.39,NULL,on.gene.UNK44.5,ENSGACG00000006891
OG109_1	mz.gene.s63.18,pn.gene.s20.78,ab.gene.s249.15,nb.gene.s69.52,on.gene.LG5.36,ENSGACG00000011328
OG110_1	mz.gene.s5.128,pn.gene.s160.15,NULL,NULL,on.gene.LG15.531,ENSGACG00000011098
OG111_1	NULL,NULL,NULL,NULL,on.gene.LG20.681,NULL
OG112_1	mz.gene.s24.123,pn.gene.s66.71,NULL,nb.gene.s216.15,on.gene.UNK113.1,ENSGACG00000003414
OG113_1	mz.gene.s35.104,pn.gene.s13.8,ab.gene.s10.80,nb.gene.s1.9,on.gene.LG17.707,NULL
OG114_1	NULL,NULL,NULL,nb.gene.s339.1,NULL,ENSGACG00000009949
OG115_1	mz.gene.s2910.1,pn.gene.s133.55,ab.gene.s930.6,nb.gene.s18.144,on.gene.LG6.699,ENSGACG00000018881
OG116_1	NULL,pn.gene.s13.84,NULL,nb.gene.s1.87,on.gene.LG17.671,ENSGACG00000018841
OG117_1	mz.gene.s54.22,pn.gene.s90.18,ab.gene.s234.9,NULL,on.gene.LG14.488,ENSGACG00000010582
OG118_1	mz.gene.s23.140,pn.gene.s414.7,NULL,nb.gene.s6532.1,on.gene.LG15.355,NULL
OG119_1	NULL,NULL,ab.gene.s75.49,nb.gene.s57.113,on.gene.LG19.313,ENSGACG00000010777
OG120_1	mz.gene.s23.34,pn.gene.s40.95,ab.gene.s185.17,nb.gene.s24.117,on.gene.LG15.56,ENSGACG00000008363
OG121_1	mz.gene.s0.158,pn.gene.s62.70,NULL,nb.gene.s14.94,on.gene.LG7.554,ENSGACG00000017119
OG122_1	mz.gene.s28.69,pn.gene.s17.32,ab.gene.s35.36,nb.gene.s55.65,on.gene.LG4.614,ENSGACG00000014126
OG123_1	mz.gene.s1.21,NULL,NULL,NULL,on.gene.LG6.1017,ENSGACG00000019669
OG124_1	mz.gene.s114.2,pn.gene.s375.1,ab.gene.s74.56,nb.gene.s29.69,on.gene.LG16-21.721,ENSGACG00000002200
OG125_1	NULL,NULL,ab.gene.s12.77,nb.gene.s7.150,on.gene.UNK17.1,ENSGACG00000020760
OG126_1	mz.gene.s93.62,NULL,ab.gene.s89.38,nb.gene.s3.309,on.gene.LG13.893,ENSGACG00000003661
OG127_1	mz.gene.s64.55,pn.gene.s124.20,ab.gene.s114.16,nb.gene.s41.76,on.gene.LG11.51,ENSGACG00000003572
OG128_1	mz.gene.s13.118,pn.gene.s6.115,ab.gene.s0.104,nb.gene.s33.32,on.gene.LG9.214,ENSGACG00000002998
OG129_1	mz.gene.s331.12,pn.gene.s274.17,ab.gene.s699.4,nb.gene.s292.9,on.gene.UNK155.10,ENSGACG00000019178
OG130_1	mz.gene.s168.16,pn.gene.s182.38,ab.gene.s124.34,nb.gene.s100.41,on.gene.LG23.580,ENSGACG00000010468
OG131_1	mz.gene.s23.129,pn.gene.s328.4,ab.gene.s118.11,nb.gene.s28.137,on.gene.LG15.349,ENSGACG00000006720
OG132_1	mz.gene.s167.1,pn.gene.s535.3,ab.gene.s223.2,nb.gene.s25.15,on.gene.UNK37.1,ENSGACG00000014203
OG133_1	mz.gene.s15.36,pn.gene.s33.14,ab.gene.s20.23,nb.gene.s4.134,on.gene.LG5.622,ENSGACG00000004249
OG134_1	mz.gene.s32.90,pn.gene.s34.58,ab.gene.s98.14,nb.gene.s16.60,NULL,ENSGACG00000010873
OG135_1	mz.gene.s66.38,pn.gene.s89.36,ab.gene.s106.14,nb.gene.s21.110,on.gene.LG11.778,NULL
OG136_1	mz.gene.s28.87,pn.gene.s17.54,ab.gene.s35.52,nb.gene.s55.86,on.gene.LG4.635,ENSGACG00000008483
OG137_1	mz.gene.s2.305,pn.gene.s18.40,ab.gene.s103.5,nb.gene.s0.1,on.gene.LG1.682,ENSGACG00000017544
OG138_1	mz.gene.s11.61,pn.gene.s7.197,ab.gene.s3.196,nb.gene.s2.170,on.gene.LG10.134,ENSGACG00000020316
OG139_1	mz.gene.s161.27,pn.gene.s175.17,ab.gene.s155.12,NULL,NULL,NULL
OG140_1	mz.gene.s1.194,NULL,ab.gene.s67.27,NULL,on.gene.LG6.761,NULL
OG141_1	NULL,NULL,ab.gene.s128.8,NULL,on.gene.LG6.636,ENSGACG00000018657
OG142_1	mz.gene.s20.18,pn.gene.s19.40,ab.gene.s208.9,NULL,on.gene.LG6.234,NULL
OG143_1	mz.gene.s189.12,NULL,NULL,nb.gene.s259.4,on.gene.LG11.114,ENSGACG00000004015
OG144_1	mz.gene.s19.75,NULL,NULL,NULL,on.gene.LG20.7,NULL
OG145_1	mz.gene.s10.87,pn.gene.s109.9,ab.gene.s395.16,nb.gene.s194.34,on.gene.LG5.495,ENSGACG00000000764
OG146_1	mz.gene.s146.52,pn.gene.s40.12,ab.gene.s42.82,nb.gene.s24.28,on.gene.LG15.380,ENSGACG00000008921
OG147_1	mz.gene.s5.290,pn.gene.s12.52,NULL,NULL,on.gene.LG15.692,NULL
OG148_1	mz.gene.s3.446,pn.gene.s122.34,NULL,NULL,NULL,NULL
OG149_1	NULL,NULL,NULL,nb.gene.s106.27,on.gene.LG5.932,ENSGACG00000019538
OG150_1	NULL,NULL,NULL,NULL,NULL,ENSGACG00000014045
OG151_1	mz.gene.s300.7,pn.gene.s87.5,ab.gene.s47.6,nb.gene.s191.6,on.gene.LG19.509,NULL
OG152_1	mz.gene.s16.53,pn.gene.s29.37,ab.gene.s97.48,nb.gene.s12.30,on.gene.LG22.543,NULL
OG153_1	mz.gene.s95.18,NULL,NULL,nb.gene.s94.23,on.gene.UNK22.20,NULL
OG154_1	mz.gene.s85.34,NULL,ab.gene.s80.49,NULL,NULL,NULL
OG155_1	mz.gene.s221.7,pn.gene.s241.9,ab.gene.s305.8,NULL,on.gene.LG22.19,NULL
OG156_1	NULL,NULL,ab.gene.s160.34,NULL,NULL,NULL
OG157_1	mz.gene.s267.21,NULL,ab.gene.s415.22,nb.gene.s164.29,on.gene.LG6.1052,ENSGACG00000019918
OG158_1	mz.gene.s26.131,pn.gene.s148.24,ab.gene.s5.60,nb.gene.s5.270,on.gene.LG13.541,ENSGACG00000008425
OG159_1	mz.gene.s128.31,pn.gene.s171.28,NULL,NULL,NULL,NULL
OG160_1	mz.gene.s12.8,pn.gene.s168.18,ab.gene.s835.2,nb.gene.s119.29,on.gene.LG20.500,ENSGACG00000003616
OG161_1	NULL,NULL,ab.gene.s554.10,nb.gene.s300.1,on.gene.LG14.700,NULL
OG162_1	NULL,pn.gene.s527.2,ab.gene.s364.23,nb.gene.s172.21,on.gene.LG13.139,ENSGACG00000012138
OG163_1	NULL,pn.gene.s172.4,ab.gene.s252.15,NULL,on.gene.LG19.821,ENSGACG00000020140
OG164_1	NULL,NULL,NULL,NULL,NULL,NULL
OG165_1	mz.gene.s113.26,pn.gene.s16.48,NULL,nb.gene.s27.59,NULL,ENSGACG00000004134
OG166_1	mz.gene.s86.22,pn.gene.s162.13,ab.gene.s28.15,NULL,on.gene.LG16-21.590,ENSGACG00000007323
OG167_1	mz.gene.s68.8,pn.gene.s260.10,ab.gene.s295.11,nb.gene.s203.22,on.gene.LG4.116,ENSGACG00000013102
OG168_1	mz.gene.s193.25,NULL,ab.gene.s213.24,NULL,NULL,NULL
OG169_1	mz.gene.s243.2,pn.gene.s63.138,ab.gene.s46.1,nb.gene.s88.2,on.gene.LG10.181,ENSGACG00000020338
OG170_1	mz.gene.s109.17,NULL,ab.gene.s21.15,NULL,NULL,NULL
OG171_1	mz.gene.s39.76,pn.gene.s28.69,ab.gene.s108.24,nb.gene.s9.114,on.gene.LG19.721,ENSGACG00000004495
OG172_1	mz.gene.s2.246,NULL,ab.gene.s2.107,nb.gene.s0.48,on.gene.LG1.619,ENSGACG00000014828
OG173_1	NULL,NULL,NULL,nb.gene.s11.240,on.gene.LG6.587,ENSGACG00000019397
OG174_1	NULL,NULL,ab.gene.s452.10,NULL,NULL,ENSGACG00000000811
OG175_1	mz.gene.s364.17,pn.gene.s459.17,ab.gene.s665.9,NULL,on.gene.LG12.728,ENSGACG00000013851
OG176_1	mz.gene.s213.16,NULL,NULL,nb.gene.s203.1,on.gene.UNK488.2,NULL
OG177_1	NULL,pn.gene.s99.43,NULL,NULL,on.gene.LG20.417,ENSGACG00000002699
OG178_1	mz.gene.s7.58,pn.gene.s111.10,NULL,NULL,on.gene.LG1.306,ENSGACG00000015773
OG179_1	mz.gene.s20.9,NULL,NULL,NULL,NULL,ENSGACG00000016962
OG180_1	mz.gene.s134.86,pn.gene.s26.99,ab.gene.s102.2,nb.gene.s3.370,on.gene.LG13.827,ENSGACG00000004384
OG181_1	mz.gene.s56.39,NULL,ab.gene.s154.38,nb.gene.s140.34,on.gene.LG12.167,ENSGACG00000012921
OG182_1	mz.gene.s542.1,pn.gene.s622.2,ab.gene.s2583.1,nb.gene.s213.8,on.gene.UNK63.2,NULL
OG183_1	NULL,NULL,NULL,NULL,on.gene.UNK307.3,NULL
OG184_1	mz.gene.s101.22,pn.gene.s203.19,ab.gene.s292.25,nb.gene.s43.63,on.gene.LG15.261,ENSGACG00000005694
OG185_1	mz.gene.s54.1,NULL,ab.gene.s26.33,NULL,NULL,NULL
OG186_1	mz.gene.s31.98,pn.gene.s22.83,ab.gene.s31.35,nb.gene.s17.224,on.gene.LG23.144,ENSGACG00000003665
OG187_1	NULL,NULL,NULL,NULL,NULL,ENSGACG00000003161
OG188_1	mz.gene.s16.193,pn.gene.s27.98,ab.gene.s18.45,nb.gene.s12.164,on.gene.LG22.326,ENSGACG00000005419
OG189_1	mz.gene.s120.33,pn.gene.s87.44,ab.gene.s47.42,nb.gene.s73.73,on.gene.LG19.545,ENSGACG00000006999
OG190_1	mz.gene.s173.1,pn.gene.s114.4,ab.gene.s189.50,NULL,on.gene.UNK14.5,NULL
OG191_1	mz.gene.s95.15,pn.gene.s211.10,NULL,nb.gene.s94.25,on.gene.UNK22.22,ENSGACG00000015328
OG192_1	mz.gene.s44.81,pn.gene.s72.57,NULL,NULL,on.gene.LG13.419,NULL
OG193_1	mz.gene.s189.19,pn.gene.s386.2,ab.gene.s488.3,nb.gene.s259.8,on.gene.LG11.108,ENSGACG00000004294
OG194_1	mz.gene.s81.68,pn.gene.s4.44,ab.gene.s149.16,nb.gene.s76.60,on.gene.LG8-24.270,ENSGACG00000009815
OG195_1	NULL,pn.gene.s5.194,NULL,nb.gene.s6.93,on.gene.UNK305.4,ENSGACG00000010037
OG196_1	mz.gene.s424.2,pn.gene.s319.2,ab.gene.s1108.1,nb.gene.s40.98,on.gene.LG7.1462,ENSGACG00000002633
OG197_1	mz.gene.s11.24,pn.gene.s0.325,ab.gene.s231.9,nb.gene.s2.194,on.gene.LG2.408,ENSGACG00000017928
OG198_1	mz.gene.s4.303,pn.gene.s83.70,ab.gene.s174.52,nb.gene.s79.50,on.gene.LG11.143,ENSGACG00000008684
OG199_1	mz.gene.s184.32,pn.gene.s404.6,ab.gene.s600.8,nb.gene.s2437.1,on.gene.LG11.895,ENSGACG00000012379
OG200_1	NULL,pn.gene.s141.48,ab.gene.s396.13,NULL,on.gene.UNK6.17,NULL
OG201_1	NULL,pn.gene.s141.62,ab.gene.s396.2,NULL,NULL,NULL
OG202_1	mz.gene.s40.57,pn.gene.s55.61,ab.gene.s37.38,NULL,on.gene.LG23.463,ENSGACG00000011174
OG203_1	NULL,pn.gene.s104.2,NULL,nb.gene.s84.17,on.gene.UNK69.16,NULL
OG204_1	mz.gene.s6.274,pn.gene.s3.284,ab.gene.s1.78,NULL,on.gene.LG18.487,ENSGACG00000017975
OG205_1	mz.gene.s10.53,pn.gene.s109.43,ab.gene.s303.3,NULL,on.gene.LG5.533,ENSGACG00000000980
OG206_1	mz.gene.s315.11,NULL,ab.gene.s540.12,NULL,on.gene.LG8-24.417,ENSGACG00000007182
OG207_1	mz.gene.s5.64,pn.gene.s57.42,NULL,nb.gene.s48.43,on.gene.LG15.460,ENSGACG00000010288
OG208_1	mz.gene.s60.32,pn.gene.s85.14,ab.gene.s162.23,nb.gene.s63.24,on.gene.LG19.477,ENSGACG00000012589
OG209_1	mz.gene.s123.39,NULL,ab.gene.s392.17,NULL,on.gene.LG11.362,ENSGACG00000005863
OG210_1	mz.gene.s18.114,pn.gene.s11.82,ab.gene.s86.35,nb.gene.s4.262,on.gene.LG5.704,ENSGACG00000012197
OG211_1	mz.gene.s389.7,pn.gene.s503.2,ab.gene.s1068.3,nb.gene.s152.18,on.gene.UNK43.33,NULL
OG212_1	mz.gene.s7.265,NULL,ab.gene.s260.4,nb.gene.s30.88,on.gene.LG1.87,ENSGACG00000016765
OG213_1	mz.gene.s224.15,pn.gene.s38.94,ab.gene.s2465.1,nb.gene.s8.54,on.gene.LG20.619,ENSGACG00000004807
OG214_1	mz.gene.s79.20,NULL,ab.gene.s59.12,nb.gene.s53.11,on.gene.UNK131.15,ENSGACG00000006138
OG215_1	mz.gene.s89.7,pn.gene.s77.50,ab.gene.s356.3,NULL,on.gene.LG7.1322,ENSGACG00000011179
OG216_1	mz.gene.s88.23,pn.gene.s84.22,NULL,nb.gene.s25.59,on.gene.UNK2.33,NULL
OG217_1	mz.gene.s311.5,pn.gene.s409.2,ab.gene.s691.3,nb.gene.s72.35,on.gene.LG22.601,ENSGACG00000020113
OG218_1	mz.gene.s31.139,NULL,ab.gene.s31.81,nb.gene.s17.258,on.gene.LG23.101,ENSGACG00000003886
OG219_1	mz.gene.s22.103,pn.gene.s353.8,NULL,nb.gene.s239.11,on.gene.UNK65.22,ENSGACG00000020524
OG220_1	mz.gene.s265.9,pn.gene.s76.36,ab.gene.s241.4,nb.gene.s227.11,on.gene.LG18.9,ENSGACG00000014870
OG221_1	NULL,pn.gene.s1259.1,NULL,NULL,NULL,NULL
OG222_1	mz.gene.s173.62,pn.gene.s3.37,ab.gene.s265.12,nb.gene.s10.272,on.gene.LG18.196,ENSGACG00000015618
OG223_1	mz.gene.s13.238,pn.gene.s86.20,ab.gene.s49.16,nb.gene.s35.54,on.gene.LG9.336,ENSGACG00000004209
OG224_1	NULL,pn.gene.s1.63,ab.gene.s110.36,nb.gene.s46.116,on.gene.LG7.361,NULL
OG225_1	mz.gene.s81.58,pn.gene.s4.55,ab.gene.s149.25,nb.gene.s76.51,NULL,ENSGACG00000009710
OG226_1	NULL,NULL,NULL,NULL,NULL,ENSGACG00000000770
OG227_1	mz.gene.s197.25,pn.gene.s237.32,NULL,NULL,on.gene.LG12.962,NULL
OG228_1	mz.gene.s34.16,pn.gene.s236.8,ab.gene.s602.3,NULL,on.gene.LG5.949,ENSGACG00000000997
OG229_1	NULL,NULL,NULL,NULL,on.gene.LG7.828,ENSGACG00000018117
